"INDEX","SAMPLING_EVENT_ID","LOC_ID","LATITUDE","LONGITUDE","YEAR","MONTH","DAY","TIME","COUNTRY","STATE_PROVINCE","COUNTY","COUNT_TYPE","EFFORT_HRS","EFFORT_DISTANCE_KM","EFFORT_AREA_HA","OBSERVER_ID","NUMBER_OBSERVERS","GROUP_ID","PRIMARY_CHECKLIST_FLAG"
"11","S14772996","L2292896","42.6607897","-72.0410013","1887","06","175","19.5","United States","Massachusetts","Worcester","P22","1.0","2.414","0","obs420760","1","?","1"
"12","S14774931","L2292892","42.6353242","-72.0086592","1887","06","176","7.5","United States","Massachusetts","Worcester","P23","8.5","0","40.4686","obs420760","1","?","1"
"13","S14774960","L2292892","42.6353242","-72.0086592","1887","06","176","16.5","United States","Massachusetts","Worcester","P22","0.5","0.805","0","obs420760","2","?","1"
"14","S14774969","L2292921","42.646333999999996","-72.0314312","1887","06","176","18.5","United States","Massachusetts","Worcester","P22","0.5","3.2190000000000003","0","obs420760","2","?","1"
"15","S14775094","L2292892","42.6353242","-72.0086592","1887","06","177","9","United States","Massachusetts","Worcester","P23","10.0","0","40.4686","obs420760","4","?","1"
"16","S14775118","L2292921","42.646333999999996","-72.0314312","1887","06","177","19","United States","Massachusetts","Worcester","P22","1.0","3.2190000000000003","0","obs420760","2","?","1"
"19","S14775207","L2292921","42.646333999999996","-72.0314312","1888","06","163","19","United States","Massachusetts","Worcester","P22","1.0","3.2190000000000003","0","obs420760","3","?","1"
"20","S14777191","L2292892","42.6353242","-72.0086592","1888","06","164","9","United States","Massachusetts","Worcester","P23","10.0","0","40.4686","obs420760","4","?","1"
"21","S14777262","L2292892","42.6353242","-72.0086592","1888","06","165","8","United States","Massachusetts","Worcester","P23","4.0","0","40.4686","obs420760","4","?","1"
"22","S14777366","L2292892","42.6353242","-72.0086592","1888","06","165","13","United States","Massachusetts","Worcester","P23","6.0","0","40.4686","obs420760","4","?","1"
"23","S14777390","L2292892","42.6353242","-72.0086592","1888","06","166","16","United States","Massachusetts","Worcester","P22","0.5","0.402","0","obs420760","1","?","1"
"24","S14777538","L2292892","42.6353242","-72.0086592","1888","06","167","9","United States","Massachusetts","Worcester","P23","5.0","0","40.4686","obs420760","4","?","1"
"25","S14778535","L2292892","42.6353242","-72.0086592","1888","06","168","8","United States","Massachusetts","Worcester","P23","10.0","0","40.4686","obs420760","4","?","1"
"26","S14778660","L2292892","42.6353242","-72.0086592","1888","06","169","7","United States","Massachusetts","Worcester","P23","9.0","0","40.4686","obs420760","4","?","1"
"27","S14778748","L2293094","42.6839497","-72.1043015","1888","06","170","9","United States","Massachusetts","Worcester","P22","0.5","8.047","0","obs420760","4","?","1"
"28","S14778769","L2293092","42.6833187","-72.1477318","1888","06","170","9.5","United States","Massachusetts","Worcester","P21","1.0","0","0","obs420760","4","?","1"
"29","S14778800","L2293094","42.6839497","-72.1043015","1888","06","170","10.5","United States","Massachusetts","Worcester","P22","0.5","8.047","0","obs420760","4","?","1"
